ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y
7676,0,0.4000244,2.8853455
7680,4,0.40486145,2.9183197
7684,4,0.4141693,2.950882
7692,8,0.42526245,2.9821472
7696,4,0.4477234,2.9914093
7700,4,0.46348572,2.9946747
7708,8,0.46377563,2.980301
7711,3,0.4544983,2.9773254
7715,4,0.4452362,2.9731293
7719,4,0.45018005,2.9731293
7728,9,0.44311523,2.9874878
7731,3,0.4472351,2.9916077
7735,4,0.45646667,3.0131836
7744,9,0.4738617,3.0469666
7747,3,0.48931885,3.059311
7751,4,0.5140991,3.059311
7759,8,0.5366516,3.0594177
7763,4,0.56640625,3.07576
7766,3,0.59524536,3.0850983
7770,4,0.6073761,3.094284
7779,9,0.6250305,3.1274872
7782,3,0.6534424,3.1455078
7786,4,0.68911743,3.1508942
7793,7,0.7156067,3.1607513
7822,29,0.7016907,3.1977997
7822,0,0.70602417,3.2303467
7824,2,0.72821045,3.25177
7824,0,0.74609375,3.2715302
7824,0,0.7554474,3.296112
7824,0,0.77568054,3.3365936
7830,6,0.80262756,3.3845062
7834,4,0.81700134,3.4234924
7838,4,0.84487915,3.4467163
7840,2,0.87924194,3.4944305
7849,9,0.8941803,3.51326
7852,3,0.88494873,3.5259552
7857,5,0.8756561,3.516571
7864,7,0.85868835,3.4733582
7869,5,0.8373718,3.4266968
7872,3,0.80947876,3.3706818
7876,4,0.78845215,3.3123932
7884,8,0.7699127,3.2783813
7887,3,0.75527954,3.2598572
7891,4,0.7519684,3.247284
7899,8,0.7519684,3.2460632
7903,4,0.7519684,3.2489471
7907,4,0.7419739,3.2632294
7911,4,0.73760986,3.2676086
7919,8,0.75257874,3.2714996
7923,4,0.7815399,3.2859802
7926,3,0.8060913,3.3073578
7934,8,0.8228302,3.3332062
7938,4,0.81048584,3.3424835
7942,4,0.7816467,3.3414612
7950,8,0.7591553,3.3322601
7954,4,0.7570343,3.3094177
7960,6,0.747818,3.280838
7961,1,0.73851013,3.255951
7970,9,0.74479675,3.2426605
7973,3,0.7415314,3.2212524
7977,4,0.7429352,3.206665
7986,9,0.73742676,3.217331
7989,3,0.72584534,3.215042
7993,4,0.7073364,3.1970673
7997,4,0.68878174,3.1821442
8005,8,0.6716461,3.175537
8006,1,0.65960693,3.181427
8013,7,0.6407318,3.181427
8020,7,0.6151123,3.1897583
8024,4,0.61073303,3.212555
8028,4,0.6244812,3.217331
8032,4,0.6561279,3.2107544
8040,8,0.6643219,3.2000427
8043,3,0.647995,3.1815186
8048,5,0.625824,3.1630096
8056,8,0.5914154,3.1598663
8060,4,0.5397186,3.1598663
8063,3,0.47077942,3.1506195
8067,4,0.3960266,3.1183624
8075,8,0.33218384,3.1167755
8079,4,0.3210144,3.1278687
8083,4,0.3210144,3.1556244
8091,8,0.32369995,3.2070007
8095,4,0.37190247,3.26268
8099,4,0.44111633,3.356964
